,title,url,rating,review_count,price
49,"Mpow FLAME2 Bluetooth Headphones Sport, 12Hrs & Bluetooth 5.0 Wireless Sport Earphones, IPX7 Waterproof Bluetooth Headset W/CVC 6.0 Noise Cancelling Mic, Bluetooth Earphones w/Comfort-Slanting, Black",https://www.amazon.com/Mpow-Headphones-Waterproof-Cancelling-Comfort-Slanting/dp/B07S7J1CGK/ref=sr_1_52?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-52,4.4 out of 5 stars,"9,137",$23.99
50,"Bluetooth Headphones, Riwbox XBT-880 Wireless Bluetooth Headphones Over Ear with Microphone and Volume Control Wireless and Wired Foldable Headset for iPhone/iPad/PC/Cell Phones/TV (Black&Gold)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_1?ie=UTF8&adId=A02189481FJ98HHMPBM9S&url=%2FBluetooth-Headphones-Riwbox-Wireless-Microphone%2Fdp%2FB07HD23XGD%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-53-spons%26psc%3D1&qualifier=1594136413&id=7180028317567379&widgetName=sp_btf,4.2 out of 5 stars,"1,007",$32.98
51,"Bluetooth Headphones Wireless,Tuinyo Over Ear Stereo Wireless Headset 35H Playtime with deep bass, Soft Memory-Protein Earmuffs, Built-in Mic Wired Mode PC/Cell Phones/TV-Black/Blue …",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_1?ie=UTF8&adId=A100308432X0Y091T9WO2&url=%2FBluetooth-Headphones-Wireless-Playtime-Memory-Protein%2Fdp%2FB086G9M5RF%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-54-spons%26psc%3D1&qualifier=1594136413&id=7180028317567379&widgetName=sp_btf,4.5 out of 5 stars,535,$26.99
52,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone- Rose Gold",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg3_1?ie=UTF8&adId=A05180921HQ8Z36VOHROK&url=%2Fdp%2FB07ZBJPYRK%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-49-spons%26psc%3D1&qualifier=1594136415&id=4052239793984259&widgetName=sp_atf_next,4.3 out of 5 stars,698,$23.99
53,"TaoTronics Hybrid Active Noise Cancelling Headphones Bluetooth Headphones Over Ear with 35H Playtime, Wireless Headphones Soft Protein Earpads Built-in Mic for Travel, Home Office Black",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg3_1?ie=UTF8&adId=A0970843A4L5K71QU223&url=%2FTaoTronics-Cancelling-Headphones-Bluetooth-Playtime%2Fdp%2FB084MKNGSQ%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-50-spons%26psc%3D1&qualifier=1594136415&id=4052239793984259&widgetName=sp_atf_next,4.8 out of 5 stars,672,$69.98
54,"Koss KPH7 Lightweight Portable Headphone, Black",https://www.amazon.com/Koss-KPH7-Lightweight-Portable-Headphone/dp/B006T9ZKAQ/ref=sr_1_51?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-51,3.9 out of 5 stars,"3,492",$6.39
55,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Space Black)",https://www.amazon.com/LORELEI-X6-Headphones-Microphone-Lightweight/dp/B083P1HG9S/ref=sr_1_52?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-52,4.3 out of 5 stars,124,$16.99
56,Ausdom Lightweight Over-Ear Wired HiFi Stereo Headphones with Built-in Mic Comfortable Leather Earphones- Black,https://www.amazon.com/Lightweight-Over-Ear-Headphones-Comfortable-Earphones/dp/B00SB6SOSK/ref=sr_1_53?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-53,4.0 out of 5 stars,"3,156",$16.99
57,"Riwbox Bluetooth Headphones, Riwbox CT-7 Cat Ear LED Light Up Wireless Foldable Headphones Over Ear with Microphone and Volume Control for iPhone/iPad/Smartphones/Laptop/PC/TV (Pink&Green)",https://www.amazon.com/Riwbox-Bluetooth-Headphones-Microphone-Smartphones/dp/B07HL1H93Y/ref=sr_1_54?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-54,4.6 out of 5 stars,"2,365",$32.98
58,"Sonitum On Ear Headphones with Microphone, Wired Head Phones with Volume Control for Computer Ipad Cellphone, Kids Headphones for School, Foldable/Adjustable fit Tangle Free 1.5m Cord, 3.5mm Jack",https://www.amazon.com/Headphones-Microphone-Lightweight-Comfortable-Foldable/dp/B07J5X68B2/ref=sr_1_55?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-55,4.4 out of 5 stars,716,$14.97
